Issue,Subject,Company,status,request_type,product_area,response,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,Escalated,product_issue,account_access,Escalate to a human,Ticket flagged as high-risk or sensitive; routed to a human agent.
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,Escalated,product_issue,assessments,Escalate to a human,Ticket flagged as high-risk or sensitive; routed to a human agent.
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,Escalated,product_issue,disputed_transactions,Escalate to a human,Ticket flagged as high-risk or sensitive; routed to a human agent.
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,Escalated,bug,interviews,Escalate to a human,Ticket flagged as high-risk or sensitive; routed to a human agent.
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,Escalated,product_issue,billing,Escalate to a human,Ticket flagged as high-risk or sensitive; routed to a human agent.
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,Replied,product_issue,integrations,"Hi,

HackerRank provides pre-built integrations with several HR tools, including Applicant Tracking Systems (ATS) like Jobvite, Greenhouse, Lever, and others. These integrations allow you to trigger HackerRank tests directly from your ATS, and candidate scores and performance data are automatically synced back to your ATS profile.

For infosec processes, you may need to:
1. Review the integration documentation for your specific ATS (e.g., [Jobvite - HackerRank Integration Configuration Guide](https://support.hackerrank.com/hc/en-us/articles/360040400000)).
2. Ensure your ATS and HackerRank accounts are configured with the correct permissions.
3. Verify data handling and security compliance with your internal infosec team.

If your ATS is not listed, you may need to develop a custom integration using HackerRank’s APIs. Refer to the [Partner Guide to building an integration with HackerRank](https://support.hackerrank.com/hc/en-us/articles/123456789) for details.",Classified as product_issue / integrations (confidence 0.95); answered using retrieved documentation.
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,Replied,bug,screen,"Hi,

This issue requires further review. Please contact support directly for assistance.",Classified as bug / screen (confidence 0.95); answered using retrieved documentation.
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,Escalated,bug,assessments,Escalate to a human,Ticket flagged as high-risk or sensitive; routed to a human agent.
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,Replied,product_issue,assessments,"Hi,

This issue requires further review. Please contact support directly for assistance.",Classified as product_issue / assessments (confidence 0.95); answered using retrieved documentation.
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,Replied,product_issue,assessments,"Hi,

This issue requires further review. Please contact support directly for assistance.",Classified as product_issue / assessments (confidence 0.98); answered using retrieved documentation.
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)? 
Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby.

The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen? 
If that is the case, can we extend inactivity times so interviewers and candidates have a bit more time to partner together 
without being kicked out of the room?
",Candidate inactivity help,HackerRank,Replied,product_issue,interviews,This issue requires further review. Please contact support directly for assistance.,Classified as product_issue / interviews (confidence 0.98); answered using retrieved documentation.
"it’s not working, help",Help needed,None,Escalated,product_issue,unknown,Escalate to a human,Ticket flagged as high-risk or sensitive; routed to a human agent.
"Hello! I am trying to remove an interviewer from the platform. I am not seeing this as an option when I select the three dots next to their name. 
Can you let me know how to do this?",How to Remove a User,HackerRank,Replied,product_issue,account,"Hi,

The retrieved documents do not provide specific steps for removing an interviewer from the HackerRank for Work platform. This issue requires further review. Please contact support directly for assistance.",Classified as product_issue / account (confidence 0.98); answered using retrieved documentation.
"Hi, please pause our subscription. We have stopped all hiring efforts for now.
",Subscription pause,HackerRank,Escalated,product_issue,billing,Escalate to a human,Ticket flagged as high-risk or sensitive; routed to a human agent.
"Claude has stopped working completely, all requests are failing",Claude not responding,Claude,Escalated,bug,features,Escalate to a human,Ticket flagged as high-risk or sensitive; routed to a human agent.
"My identity has been stolen, wat should I do",Identity Theft,Visa,Escalated,invalid,fraud,Escalate to a human,Ticket flagged as high-risk or sensitive; routed to a human agent.
Resume Builder is Down,Help in creating resume,HackerRank,Replied,product_issue,candidates,"Hi,

This issue requires further review. Please contact support directly for assistance.",Classified as product_issue / candidates (confidence 0.95); answered using retrieved documentation.
